100	1
101	1
102	1
103	2
104	4
105	3
106	4
107	1
108	5
109	2
110	4
111	1
112	1
113	1
114	3
115	5
116	4
117	5
118	2
119	5
120	2
121	1
122	5
123	1
124	5
125	2
126	1
127	2
128	3
129	4
130	3
131	5
132	1
133	5
134	4
135	2
136	5
137	3
138	4
139	4
140	4
141	4
142	2
143	5
144	2
145	4
146	1
147	2
148	3
149	2
150	4
151	4
152	2
153	3
154	3
155	1
156	1
157	5
158	5
159	3
160	1
161	5
162	2
163	5
164	2
165	5
166	3
167	4
168	4
169	5
170	2
171	4
172	3
173	4
174	3
175	2
176	3
177	1
178	2
179	5
180	1
181	3
182	3
183	1
184	5
185	2
186	3
187	3
188	2
189	5
190	3
191	3
192	4
193	5
194	2
195	2
196	3
197	4
198	4
199	1
